Year_Built,Propnum,Address,Long,Lat
1865,2019981,"30 Lilley Street, BALLARAT NORTH  VIC  3350",143.8551766,-37.53960607
1865,2015428,"523 Howitt Street, SOLDIERS HILL  VIC  3350",143.8561771,-37.5435847
1865,2028307,"1 Ryan Street, BROWN HILL  VIC  3350",143.9039331,-37.56013829
1865,2015730,"608 Howitt Street, BALLARAT NORTH  VIC  3350",143.8548228,-37.54271873
1865,2015731,"606 Howitt Street, BALLARAT NORTH  VIC  3350",143.8550706,-37.54274837
1865,2016189,"309 Humffray Street North, BROWN HILL  VIC  3350",143.884821,-37.55381611
1865,2017141,"8 Johnson Street, BALLARAT CENTRAL  VIC  3350",143.8520279,-37.55599203
1865,2026747,"23-25 Raglan Street North, BALLARAT CENTRAL  VIC  3350",143.8504546,-37.55912842
1865,2031340,"6 Sussex Street, BALLARAT CENTRAL  VIC  3350",143.8408794,-37.55852871
1865,2031597,"11 Talbot Street North, BALLARAT CENTRAL  VIC  3350",143.8426603,-37.5592386
1865,2031602,"21 Talbot Street North, BALLARAT CENTRAL  VIC  3350",143.8427779,-37.55860227
1865,2015324,"605 Howard Street, SOLDIERS HILL  VIC  3350",143.8549793,-37.54622049
1865,2013097,"407 Gregory Street, SOLDIERS HILL  VIC  3350",143.8583049,-37.54566275
1865,2013131,"1005A Gregory Street, LAKE WENDOUREE  VIC  3350",143.8473088,-37.54467868
1865,2013342,"712 Gregory Street, SOLDIERS HILL  VIC  3350",143.8536446,-37.54438412
1865,2014853,"1 High Street, LAKE WENDOUREE  VIC  3350",143.8467958,-37.55157996
1865,2014868,"23 High Street, LAKE WENDOUREE  VIC  3350",143.8470631,-37.55012302
1865,2026739,"7 Raglan Street North, BALLARAT CENTRAL  VIC  3350",143.850122,-37.56016055
1865,2008230,"425 Drummond Street North, LAKE WENDOUREE  VIC  3350",143.8489242,-37.55096129
1865,2008320,"28 Drummond Street North, BALLARAT CENTRAL  VIC  3350",143.8481002,-37.55899235
1865,2036538,"18 Yuille Street, BALLARAT CENTRAL  VIC  3350",143.8544073,-37.55803969
1865,2036539,"16 Yuille Street, BALLARAT CENTRAL  VIC  3350",143.8543928,-37.55811539
1865,2036540,"14 Yuille Street, BALLARAT CENTRAL  VIC  3350",143.8543768,-37.5582065
1865,2013094,"403 Gregory Street, SOLDIERS HILL  VIC  3350",143.8587325,-37.54571326
1865,2007891,"906 Doveton Street North, BALLARAT NORTH  VIC  3350",143.8589285,-37.54289107
1865,2007901,"804 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8585276,-37.54460451
1865,2007930,"528 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8575677,-37.5492418
1865,2007933,"522 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8575186,-37.54950722
1865,2007952,"314 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8566121,-37.55359603
1865,2008224,"413 Drummond Street North, LAKE WENDOUREE  VIC  3350",143.8487806,-37.55175138
1865,2007769,"515 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8565611,-37.54966753
1865,2007770,"517 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8565793,-37.54957592
1865,2007775,"527 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8567609,-37.5490071
1865,2007798,"709 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8574566,-37.54561505
1865,2007812,"815 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8578459,-37.54400903
1865,2007888,"910 Doveton Street North, BALLARAT NORTH  VIC  3350",143.8589916,-37.54255968
1865,2034542,"53 Webster Street, BALLARAT CENTRAL  VIC  3350",143.8504494,-37.55710018
1865,2034612,"46 Webster Street, BALLARAT CENTRAL  VIC  3350",143.8499002,-37.55641115
1865,2034622,"26 Webster Street, BALLARAT CENTRAL  VIC  3350",143.8520239,-37.55657894
1865,2034623,"24 Webster Street, BALLARAT CENTRAL  VIC  3350",143.8522032,-37.55663942
1865,2007383,"209 Dawson Street South, BALLARAT CENTRAL  VIC  3350",143.8528818,-37.56642181
1865,2007701,"8 Doveton Crescent, SOLDIERS HILL  VIC  3350",143.8579682,-37.55706073
1865,2006427,"416 Creswick Road, BALLARAT CENTRAL  VIC  3350",143.8509883,-37.5490104
1865,2006500,"111 Crompton Street, SOLDIERS HILL  VIC  3350",143.8539964,-37.54734271
1865,2006501,"115 Crompton Street, SOLDIERS HILL  VIC  3350",143.8540206,-37.54719866
1865,2006506,"123 Crompton Street, SOLDIERS HILL  VIC  3350",143.8543222,-37.5463502
1865,2006544,"16 Crompton Street, SOLDIERS HILL  VIC  3350",143.854626,-37.54907686
1865,2006546,"12 Crompton Street, SOLDIERS HILL  VIC  3350",143.8546204,-37.54930329
1865,2005701,"304 Clyde Street, SOLDIERS HILL  VIC  3350",143.8566021,-37.54555708
1865,2005719,"120 Clyde Street, SOLDIERS HILL  VIC  3350",143.8560641,-37.54924533
1865,2005962,"8 Comb Street, SOLDIERS HILL  VIC  3350",143.8535155,-37.54638329
1865,2005963,"6 Comb Street, SOLDIERS HILL  VIC  3350",143.8534914,-37.54651468
1865,2005964,"4A Comb Street, SOLDIERS HILL  VIC  3350",143.8534737,-37.54662987
1865,2005965,"4 Comb Street, SOLDIERS HILL  VIC  3350",143.8535488,-37.54683517
1865,2004226,"6 Burnbank Street, LAKE WENDOUREE  VIC  3350",143.8472956,-37.54848949
1865,2004227,"4 Burnbank Street, LAKE WENDOUREE  VIC  3350",143.8473135,-37.54869068
1865,2005670,"105 Clyde Street, SOLDIERS HILL  VIC  3350",143.8551962,-37.54992855
1865,2005675,"115 Clyde Street, SOLDIERS HILL  VIC  3350",143.8552157,-37.54931461
1865,2005680,"123 Clyde Street, SOLDIERS HILL  VIC  3350",143.8553721,-37.54875785
1865,2005695,"223 Clyde Street, SOLDIERS HILL  VIC  3350",143.8556428,-37.54657989
1865,2032867,"5 Victoria Avenue, LAKE WENDOUREE  VIC  3350",143.8477279,-37.55559632
1865,2032868,"7 Victoria Avenue, LAKE WENDOUREE  VIC  3350",143.847644,-37.55561296
1865,2032870,"11 Victoria Avenue, LAKE WENDOUREE  VIC  3350",143.8474148,-37.55558552
1865,2032871,"13 Victoria Avenue, LAKE WENDOUREE  VIC  3350",143.8473333,-37.55557729
1865,2004157,"1 Burnbank Street, LAKE WENDOUREE  VIC  3350",143.8468368,-37.54910258
1865,2004179,"103 Burnbank Street, LAKE WENDOUREE  VIC  3350",143.8453713,-37.54610913
1865,2002459,"13 Beaufort Crescent, BALLARAT CENTRAL  VIC  3350",143.8524668,-37.54888211
1865,2003935,"103 Brougham Street, SOLDIERS HILL  VIC  3350",143.8581194,-37.5489538
1865,2003936,"105 Brougham Street, SOLDIERS HILL  VIC  3350",143.8579657,-37.54900868
1865,2003940,"205 Brougham Street, SOLDIERS HILL  VIC  3350",143.8565034,-37.54883817
1865,2003961,"8 Brougham Street, SOLDIERS HILL  VIC  3350",143.8593547,-37.54847673
1865,2032866,"3 Victoria Avenue, LAKE WENDOUREE  VIC  3350",143.8478262,-37.55557936
1866,2030708,"23 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8597489,-37.56266195
1866,2030745,"127 Sturt Street, BALLARAT CENTRAL  VIC  3350",143.8581994,-37.56248507
1867,2034035,"802 Warrenheip Street, BUNINYONG  VIC  3357",143.8826346,-37.65287732
1868,2007732,"301 Doveton Street North, SOLDIERS HILL  VIC  3350",143.8559383,-37.55402702
1868,2017111,"7 Johnson Street, BALLARAT CENTRAL  VIC  3350",143.8514631,-37.55591905
